Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Zambia,ZMB,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,34.71144848,36.55050359,41.15190684,29.59110923,25.19976917,34.11313903,26.68586982,33.29529393,30.56241635,39.76013074,32.65192685,28.52212608,20.82542235,24.85504071,27.57147361,18.4216247,24.09420646,22.04118209,35.55797737,47.4313147,35.04250628,41.90644058,41.36666046,38.33104841,46.15955423,37.9,51.8,59.1,63.6,68.8,84.1,90.3,104.2,126.9,121.8,100,104.4,109.2,116.8,97.8,107.7,103.6,107.6,99.1,,
Zambia,ZMB,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,58.41086246,63.43602429,54.57393484,48.31940245,59.75860298,59.819202,63.23477022,69.58266453,67.24330357,59.30568949,62.82642089,68.78216123,76.79005674,57.70650014,,,,,,78.87823926,73.66906475,67.87634409,62.77068042,64.37538265,63.53300055,60.57246003,55.26567736,63.81539803,58.18154804,45.54526403,54.55123347,53.91312709,55.82938324,63.29332483,63.91090711,52.94246573,56.58422225,59.77442968,57.46685249,59.41304095,59.24792966,55.47157372,49.45760336,55.93099355,48.80073434,53.4173317,49.68905893,
Zambia,ZMB,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,,,,,62.57333125,55.77716644,45.87264151,37.98441755,36.52897595,36.73314594,30.34659,27.1709258,22.69644077,20.83272842,13.26832326,9.87741867,11.4038446,10.66681114,9.824603552,15.41828977,19.18469918,21.37572422,22.18009084,22.18009084,29.58439538,25.9393668,22.9975837,29.03059422,24.51643853,31.25658096,30.19478687,31.45951764,36.55442263,52.7920524,50.28846621,44.81453325,51.24613369,55.63545808,52.59775645,58.39990511,69.63716755,68.25336406,67.73245164,67.73559458,57.22822448,58.94271757,59.74660905,59.10721667,60.91652656,60.41550326,63.25731646,59.58875277,55.75388789,62.39470053,62.33228958,60.40394744,58.18141533,58.38590772,52.39144223,44.65140929,43.75472163,44.18200229,45.43325443,37.48722736,,
Zambia,ZMB,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,,,,,0.683651823,1.066024759,1.297169811,1.087157702,0.960113671,0.811391348,1.003891687,1.052944041,1.594119719,1.488798162,1.680900177,1.231731158,1.909780193,1.854473506,1.761818739,1.987658135,1.959389228,2.934224762,2.394085057,2.394085057,1.847870905,1.308807821,1.312687362,1.160079887,4.0842165,2.390261679,2.888963497,4.610803484,3.149929807,1.30944275,4.265245915,2.503288296,3.327018314,3.216173708,2.321034636,2.477004268,1.650421414,1.988510876,3.992785482,2.385706071,2.486123878,3.202323281,2.872029992,4.161489514,3.791983497,3.511435842,2.808701589,3.490232246,3.544520507,3.897645167,4.426003037,4.629718134,4.309727377,2.989873468,4.809182847,5.016079925,5.751458347,6.298610137,6.862638778,5.739998688,,
Zambia,ZMB,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,,,,,0.020665601,0.103163686,0.324292453,0.207339967,0.468892723,0.661605828,1.058819405,1.556903004,2.899782831,3.190762334,5.29269601,3.316654491,2.504778409,1.845185658,2.271113719,0.743927647,1.019189251,0.751105643,0.549776668,0.549776668,0.466770373,0.569925789,0.730715311,0.44052362,0.893255108,0.447402681,0.725823336,0.583689145,0.730479943,0.866508275,1.198338977,0.704681193,1.07315049,1.368779763,0.987871812,1.403076947,1.660022536,4.715824166,3.152577295,3.109973076,2.452685295,3.598574023,3.039865956,6.692101701,4.998283616,5.451296971,5.846452891,10.52730396,10.65649466,6.301989973,9.872777732,9.250778011,9.123746849,13.47555699,14.0831754,15.27823232,18.23749634,15.07831584,17.27854454,18.06213279,,
Zambia,ZMB,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,,,,,1.019362403,0.481430536,0.058962264,0.411374834,0.714503197,0.197589409,0.125437766,0.124405489,0.194013533,0.195107096,7.722015634,12.4446476,13.93784039,12.95922072,14.26487959,15.7766911,20.25657605,19.30559847,20.13069128,20.13069128,23.4322288,20.5565521,18.1630494,12.47300087,11.0148136,0.486711482,4.884151159,13.66057534,16.03155604,10.81119493,0.362014215,16.35847276,10.54467297,1.169448207,9.413865147,3.853707489,1.680256467,1.541539601,2.076855913,4.597668489,7.240851257,4.133579972,10.76353997,6.710168872,12.83927709,13.83605355,12.35450825,9.134568066,10.30093281,5.987751165,4.496876123,4.300077173,12.36701554,11.4651823,11.93090286,13.52004024,11.3124054,13.54631725,9.753520822,16.21482332,,
Zambia,ZMB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,4.94,3.29,4.24,3.28,4.72,4.46,3.09,2.83,2.95,2.35,2.97,2.29,2.14,2.38,2.78,5.94,3.09,4.36,2.99,3.52,2.49,,,,
Zambia,ZMB,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,57.9,64.4,70.9,62.3,55.2,42.2,32.6,35.1,42.2,69.6,66.3,85.2,98.2,92.3,76.1,75.4,72.1,74.8,65.6,65.6,65,63.5,63.9,68,75.7,82.3,88.7,97.1,110.8,96.6,105.7,119.7,117.9,114.2,112.3,100,96.1,103.9,111.6,108.1,106,125.3,140.2,136.9,133.3,
Zambia,ZMB,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.36,,,,17.34,,,,28.1,25.22,13.72,32.66,14.87,30.31,23.94,13.12,9.25,9.27,8.41,11.24,11.69,,11.68,13.33,,12.95,,12.97,13.33,12.89,,,
Zambia,ZMB,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.89,,,,11.33,,,,14.28,10.68,8.7,12.58,9.32,11.56,9.63,5.25,4.1,3.29,3.45,3.55,3.35,,3.95,6.22,,3.39,,4.82,4.81,4.08,,,
